Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 129.0.0.0,,,29-09-2024 10:47:09,29-09-2024 10:47:18,8.957s,PASSED
,,,,,,,
Test Cases/TC_LoginTestCase,Chrome 129.0.0.0,,,29-09-2024 10:47:10,29-09-2024 10:47:18,8.720s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,29-09-2024 10:47:10,29-09-2024 10:47:12,2.178s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,29-09-2024 10:47:12,29-09-2024 10:47:13,0.815s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,29-09-2024 10:47:13,29-09-2024 10:47:14,1.251s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/a_Sign In""))",Chrome 129.0.0.0,,,29-09-2024 10:47:14,29-09-2024 10:47:15,0.757s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_JPetStore Demo/input_Need a user name and password_username""), ""radhika4"")",Chrome 129.0.0.0,,,29-09-2024 10:47:15,29-09-2024 10:47:16,0.722s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_JPetStore Demo/input_Need a user name and password_password""), ""radhika4"")",Chrome 129.0.0.0,,,29-09-2024 10:47:16,29-09-2024 10:47:16,0.706s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 129.0.0.0,,,29-09-2024 10:47:16,29-09-2024 10:47:17,0.844s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/a_Sign Out""))",Chrome 129.0.0.0,,,29-09-2024 10:47:17,29-09-2024 10:47:18,0.806s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,29-09-2024 10:47:18,29-09-2024 10:47:18,0.297s,PASSED
