Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LoginBroken,Chrome 129.0.0.0,,,04-10-2024 19:17:13,04-10-2024 19:17:22,9.292s,PASSED
,,,,,,,
Test Cases/Login,Chrome 129.0.0.0,,,04-10-2024 19:17:13,04-10-2024 19:17:22,9.102s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 19:17:13,04-10-2024 19:17:15,2.112s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,04-10-2024 19:17:15,04-10-2024 19:17:16,0.976s,PASSED
"click(findTestObject(""Object Repository/LoginBroken/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,04-10-2024 19:17:16,04-10-2024 19:17:17,1.203s,PASSED
"click(findTestObject(""Object Repository/LoginBroken/Page_JPetStore Demo/a_Sign In""))",Chrome 129.0.0.0,,,04-10-2024 19:17:17,04-10-2024 19:17:19,1.380s,PASSED
"setText(findTestObject(""Object Repository/LoginBroken/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan"")",Chrome 129.0.0.0,,,04-10-2024 19:17:19,04-10-2024 19:17:19,0.671s,PASSED
"setText(findTestObject(""Object Repository/LoginBroken/Page_JPetStore Demo/input_Need a user name and password_password""), ""mohan"")",Chrome 129.0.0.0,,,04-10-2024 19:17:19,04-10-2024 19:17:20,0.700s,PASSED
"click(findTestObject(""Object Repository/LoginBroken/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 129.0.0.0,,,04-10-2024 19:17:20,04-10-2024 19:17:21,0.836s,PASSED
"click(findTestObject(""Object Repository/LoginBroken/Page_JPetStore Demo/a_Sign Out""))",Chrome 129.0.0.0,,,04-10-2024 19:17:21,04-10-2024 19:17:22,0.759s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,04-10-2024 19:17:22,04-10-2024 19:17:22,0.199s,PASSED
